interval, latitude, longitude, classification
0,37.3896553740254,-122.163656931484,0.0
1,37.3894602433195,-122.163686435783,0.0
2,37.3892788589349,-122.163743432725,0.0
3,37.3891212372457,-122.163850972543,0.0
4,37.3889953410601,-122.164011066893,0.0
5,37.3889354523619,-122.164214244226,0.0
6,37.3889583768671,-122.164434939737,0.0
7,37.3890495719736,-122.164611043522,0.0
8,37.389201116783,-122.164721433187,0.0
9,37.3893667850992,-122.164735263327,0.0
10,37.3895294359302,-122.164648762087,0.0
11,37.3896407476043,-122.164470898101,0.0
12,37.3896706290891,-122.164234025518,0.0
13,37.3896124167716,-122.163969660292,0.0
14,37.3894755822023,-122.16366942052,0.0
15,37.3893236182978,-122.163325175757,0.0
16,37.3891686788177,-122.162942960972,0.0
17,37.389009548386,-122.162509365121,0.0
18,37.3888770724064,-122.162045678238,0.0
19,37.3887670599272,-122.16157889005,0.0
20,37.3886863421997,-122.161096176246,0.0
21,37.3886301834484,-122.160623520726,0.0
22,37.3885891540324,-122.160140304009,1.0
23,37.3885421315556,-122.159649040664,1.0
24,37.38848894838,-122.159175463135,1.0
25,37.3884344660094,-122.158671291659,0.0
26,37.3883770918822,-122.158122277001,1.0
27,37.388307857362,-122.157562617326,0.0
28,37.3882064363336,-122.156985439474,0.0
29,37.3880483955493,-122.15641010564,0.0
30,37.3875781707814,-122.155287517348,0.0
31,37.3872592393657,-122.154746214042,0.0
32,37.3869044334045,-122.154243802766,0.0
33,37.3865144653594,-122.153792269642,0.0
34,37.387840063346,-122.155839549491,0.0
35,37.3860904248779,-122.15340544481,0.0
36,37.3856508778756,-122.153063295523,0.0
37,37.3851888254633,-122.152782334129,0.0
38,37.3847047286456,-122.1525562742,0.0
39,37.3842102801775,-122.152393413821,0.0
40,37.3836957151418,-122.152271373311,0.0
41,37.3831920884898,-122.152172634492,0.0
42,37.3827087879529,-122.15206719015,0.0
43,37.3822260322397,-122.151960404704,0.0
44,37.3817423126077,-122.151857894028,0.0
45,37.3812596826231,-122.1517511924,0.0
46,37.380774412339,-122.151641473288,0.0
47,37.3802974820485,-122.151507781932,0.0
48,37.379820300301,-122.151337126384,0.0
49,37.3793508718138,-122.151116095597,0.0
50,37.3788948543718,-122.150852317104,0.0
51,37.3784490209421,-122.15053849865,0.0
52,37.3780131619772,-122.150180591384,0.0
53,37.3775932705378,-122.149781109879,0.0
54,37.377190729638,-122.149348603675,0.0
55,37.3768119933432,-122.148916935662,0.0
56,37.3764313711202,-122.148487866039,0.0
57,37.376072835212,-122.148071704546,0.0
58,37.3757168138748,-122.147656548882,0.0
59,37.3753533745533,-122.147246338541,0.0
60,37.3749901028698,-122.146837301666,0.0
61,37.3746240232488,-122.146417368317,0.0
62,37.3742471309727,-122.145986538494,0.0
63,37.373852888157,-122.145569454992,0.0
64,37.3734495090669,-122.145158993194,0.0
65,37.3730390891781,-122.144762696812,0.0
66,37.3726166412582,-122.144380398208,0.0
67,37.3721981328329,-122.144003044928,0.0
68,37.3717753496369,-122.14361504663,0.0
69,37.3713554581975,-122.143233334759,1.0
70,37.370933764649,-122.142862100268,0.0
71,37.3705198243608,-122.142497906575,0.0
72,37.3701216420507,-122.142131617407,0.0
73,37.3697157064801,-122.1417634004,0.0
74,37.3693136265849,-122.141396859774,0.0
75,37.3689300706958,-122.141002072135,0.0
76,37.3685603449469,-122.140572415779,0.0
77,37.3682109034037,-122.140112919847,0.0
78,37.3678740766247,-122.139621572683,0.0
79,37.3675741302198,-122.139102565238,0.0
80,37.3672942165633,-122.138543157021,0.0
81,37.3667916795587,-122.137351837123,0.0
82,37.3670309409847,-122.137961704398,0.0
83,37.366581126151,-122.136718500519,0.0
84,37.3663863307213,-122.136069992671,0.0
85,37.3661909066489,-122.135417629147,1.0
86,37.365991794539,-122.134756296987,0.0
87,37.3657941073527,-122.134103179092,0.0
88,37.3655936541384,-122.133439164722,0.0
89,37.3653874174108,-122.132763667146,0.0
90,37.365187089925,-122.132072914505,0.0
91,37.3649895284673,-122.131373528505,0.0
92,37.3647299828356,-122.129942318538,0.0
93,37.3648299370309,-122.130663665125,0.0
94,37.3646778893074,-122.129200687746,0.0
95,37.3646335909491,-122.128464253733,0.0
96,37.3645766778266,-122.127753049249,0.0
97,37.3645234946509,-122.12704570044,0.0
98,37.3644723650416,-122.126332149023,0.0
99,37.3643885041004,-122.125614909569,0.0
100,37.364244922099,-122.124912338445,0.0
101,37.3640585923915,-122.12425838236,0.0
102,37.3638345022102,-122.1236454976,0.0
103,37.3635726096457,-122.123068403566,0.0
104,37.3632786982109,-122.122538499648,0.0
105,37.3629678134223,-122.122051175797,0.0
106,37.3626215570023,-122.121591512228,0.0
107,37.3622456705546,-122.121166465918,0.0
108,37.3618379328748,-122.120793722684,0.0
109,37.3614190053543,-122.120451908672,1.0
110,37.3609802965423,-122.120156195128,1.0
111,37.3605629615834,-122.119909264261,0.0
112,37.3601826746365,-122.119675492982,0.0
113,37.3598122364258,-122.11944624793,0.0
114,37.3594418820342,-122.119227815533,0.0
115,37.3590693483477,-122.1190021747,0.0
116,37.358690947329,-122.118773013467,0.0
117,37.3583213892182,-122.11852775898,0.0
118,37.3579492327174,-122.118238583321,0.0
119,37.3572129244333,-122.117542047167,0.0
120,37.3575826082727,-122.117914371306,0.0
121,37.356854053249,-122.117124628389,0.0
122,37.3565046955248,-122.116677705312,0.0
123,37.3561837943619,-122.116191722566,0.0
124,37.3558831774046,-122.115647066498,0.0
125,37.3556101788183,-122.115075839797,0.0
126,37.3553743958821,-122.11446966056,0.0
127,37.3551859706988,-122.113839341441,0.0
128,37.3550178716307,-122.113167615721,0.0
129,37.3548441566875,-122.112497231105,0.0
130,37.3546753451576,-122.111834893117,0.0
131,37.3545132810598,-122.111181188488,0.0
132,37.3543463554581,-122.11054910917,0.0
133,37.3541448125964,-122.109929435069,0.0
134,37.3539158190017,-122.109345803151,0.0
135,37.3536740849142,-122.10882654425,0.0
136,37.3534257291233,-122.108357157672,0.0
137,37.3531636689206,-122.10791325208,0.0
138,37.3528777202939,-122.107486026475,0.0
