interval, latitude, longitude, classification
0,40.4411272990441,-79.9943876726157,0.0
1,40.4409421201965,-79.994508493482,0.0
2,40.4407746422791,-79.9946135644657,0.0
3,40.4406657358578,-79.994681889323,0.0
4,40.440666153233,-79.9946816274734,0.0
5,40.440666153233,-79.9946816274734,0.0
6,40.4406660102506,-79.9946817171766,0.0
7,40.4406660102506,-79.9946817171766,0.0
8,40.440568967223,-79.9947356385657,0.0
9,40.4405182895175,-79.9947637701101,0.0
10,40.4405027198629,-79.9951223671289,0.0
11,40.4405408055341,-79.9952350986955,0.0
12,40.4405666102521,-79.9953114792919,0.0
13,40.4405701418175,-79.9953219325382,0.0
14,40.4405696757735,-79.9953205530727,0.0
15,40.4405696897339,-79.9953205943947,0.0
16,40.4405697036937,-79.9953206357149,0.0
17,40.440569717656,-79.9953206770426,0.0
18,40.4405554952749,-79.9952785795489,0.0
19,40.4405535636236,-79.9952728619635,0.0
20,40.4405536454587,-79.995273104191,0.0
21,40.4405542969343,-79.9952750325243,0.0
22,40.4405540495608,-79.9952743003118,0.0
23,40.4405540622666,-79.9952743379205,0.0
24,40.4405540749765,-79.9952743755411,0.0
25,40.4405540876894,-79.9952744131704,0.0
26,40.4405541003982,-79.9952744507879,0.0
27,40.4405541131062,-79.9952744884028,0.0
28,40.4405564406534,-79.995281377819,0.0
29,40.4405669643333,-79.9953125273534,0.0
30,40.4405862617818,-79.9953696467772,0.0
31,40.4406260356139,-79.9954876232647,0.0
32,40.4406517520246,-79.9955639134616,0.0
33,40.4406595208598,-79.9955869604555,0.0
34,40.4406692192177,-79.9956157315639,0.0
35,40.4407004650153,-79.9957084252167,0.0
36,40.4408509884509,-79.9958368125866,0.0
37,40.4408681115413,-79.9958256491594,0.0
38,40.4410539610932,-79.9957044842358,0.0
39,40.4412302558463,-79.9955895485791,0.0
40,40.4412920201853,-79.9955492812159,0.0
41,40.4412939032002,-79.9955480535812,0.0
42,40.4413127696936,-79.9955357535395,0.0
43,40.4413536913591,-79.9955090745918,0.0
44,40.4415192527991,-79.9953990112652,0.0
45,40.4417017489069,-79.9952754305211,0.0
46,40.4418483615543,-79.9951761489513,0.0
47,40.4419741714444,-79.9950909543682,0.0
48,40.4420571223169,-79.9950345608714,0.0
49,40.4421377283265,-79.994979666945,0.0
50,40.4422238145146,-79.9951187094888,0.0
51,40.442282608859,-79.9952828078871,0.0
52,40.4423534030769,-79.9954803986228,0.0
53,40.4424008061961,-79.9956127034561,0.0
54,40.4424179845427,-79.9956606492099,0.0
55,40.4424243039652,-79.9956782870815,0.0
56,40.442428439411,-79.9956898293488,0.0
57,40.4424284141936,-79.9956897589657,0.0
58,40.4424286511715,-79.9956904203844,0.0
59,40.4424286411757,-79.9956903924856,0.0
60,40.4424287407203,-79.9956906703202,0.0
61,40.4424288529302,-79.9956909835047,0.0
62,40.442428791919,-79.9956908132189,0.0
63,40.4424287819094,-79.9956907852814,0.0
64,40.4424287811845,-79.9956907832581,0.0
65,40.4424287711792,-79.9956907553329,0.0
66,40.4424415575369,-79.9957264427929,0.0
67,40.4424700083484,-79.995805850645,0.0
68,40.4425161314359,-79.9959394813588,0.0
69,40.4425786358929,-79.9961207307584,0.0
70,40.4426494995085,-79.9963260835916,0.0
71,40.4427120577681,-79.9964969113489,0.0
72,40.4427547411582,-79.9966134668263,0.0
73,40.442775543253,-79.9966702710792,0.0
74,40.4427797408059,-79.9966817333314,0.0
75,40.4427828441984,-79.9966902077614,0.0
76,40.442805208316,-79.9967512774279,0.0
77,40.44285646617,-79.9968841651149,0.0
78,40.4429182904893,-79.9970355122826,0.0
79,40.4429684719033,-79.9971583573856,0.0
80,40.4429820871356,-79.9971916877461,0.0
81,40.4429855866339,-79.9972002545877,0.0
